NOM_LOGIQUE;LIBELLE;libelle long eq;NOM_STATION;libelle long station;MNEMONIQUE;Libelle (type eq.)
INGP-IMAG-00000000000004640137029-00-0G-IN-CR219;MIV_123;MIV_123 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004641137029-00-0G-IN-CR219;MIV_124;MIV_124 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004644137029-00-0J-IN-QX002;MIV_127;MIV_127 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004645137029-00-0J-IN-QX002;MIV_128;MIV_128 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004646137029-00-0J-IN-QX002;MIV_129;MIV_129 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004647137029-00-0J-IN-QX002;MIV_130;MIV_130 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004648137029-00-0J-IN-QX002;MIV_131;MIV_131 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004649137029-00-0J-IN-QX002;MIV_132;MIV_132 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004650137029-00-0J-IN-QX002;MIV_133;MIV_133 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004651137029-00-0J-IN-QX002;MIV_134;MIV_134 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004652137029-00-0J-IN-QX002;MIV_135;MIV_135 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004653137029-00-0J-IN-QX002;MIV_136;MIV_136 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004654137029-00-0J-IN-QX002;MIV_137;MIV_137 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004655137029-00-0J-IN-QX004;MIV_138;MIV_138 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004656137029-00-0J-IN-QX004;MIV_139;MIV_139 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004657137029-00-0J-IN-QX004;MIV_140;MIV_140 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004302137035-00-0G-IN-CR205;MIV_113;MIV_113 - Nanterre Ville;R-NANTERRE - VILLE;RER A - Nanterre Ville;IMAGE_V4;Afficheur IMAGE V4
